iata,airport,city,state,country,lat,long,Flights
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1461
FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694,403
JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.5762764,309
KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374,186
SIT,Sitka,Sitka,AK,USA,57.04713806,-135.3615983,92
OTZ,Ralph Wien Memorial,Kotzebue,AK,USA,66.88467694,-162.5985497,92
OME,Nome,Nome,AK,USA,64.51220222,-165.4452458,92
BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975,88
YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261,62
WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242,62
SCC,Deadhorse,Deadhorse,AK,USA,70.19475583,-148.4651608,62
PSG,James C. Johnson Petersburg,Petersburg,AK,USA,56.80165194,-132.9452781,62
CDV,Merle K (Mudhole) Smith,Cordova,AK,USA,60.49183389,-145.4776503,62
BRW,Wiley Post Will Rogers Memorial,Barrow,AK,USA,71.2854475,-156.7660019,62
ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553,62
ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306,9
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,3748
HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944,1671
MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333,964
MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611,540
DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889,228
LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556,2609
XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111,2234
FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111,439
TXK,Texarkana Regional-Webb ,Texarkana,AR,USA,33.45370806,-93.99102,240
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,32914
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,4449
YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.6059722,730
FLG,Flagstaff Pulliam,Flagstaff,AZ,USA,35.13845472,-111.6712183,289
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,32611
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,20443
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,14113
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,10402
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,8834
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,8648
SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,6845
ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944,6346
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,5018
FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389,2392
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733,2140
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,2054
LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111,1664
MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.8429478,1348
